,correct,stim_dir_lvl,stim_col_lvl,context,stim_dir,stim_col,choice
128,1,4,4,-1,0.14998687664042085,0.14998687664042085,1.0
129,1,4,4,1,0.14998687664042085,0.14998687664042085,1.0
130,1,4,5,-1,0.14998687664042085,0.5,1.0
131,1,4,5,1,0.14998687664042085,0.5,1.0
132,1,5,0,-1,0.5,-0.5,-1.0
133,1,5,0,1,0.5,-0.5,1.0
134,1,5,1,-1,0.5,-0.14998687664042085,-1.0
135,1,5,1,1,0.5,-0.14998687664042085,1.0
136,1,5,2,-1,0.5,-0.047007874015747596,-1.0
137,1,5,2,1,0.5,-0.047007874015747596,1.0
138,1,5,3,-1,0.5,0.047007874015747596,1.0
139,1,5,3,1,0.5,0.047007874015747596,1.0
140,1,5,4,-1,0.5,0.14998687664042085,1.0
141,1,5,4,1,0.5,0.14998687664042085,1.0
142,1,5,5,-1,0.5,0.5,1.0
143,1,5,5,1,0.5,0.5,1.0
